0
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat
                infkjokty          17          17                    -1245533162                                                  2
3
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 vgltdmuw          25          25                    -1213863283                                                  3
                 mynyzsvb          17          17                    -1063283043                                                  3
                    uldmv          19          19                     -174314943                                                  3
                gdiykbxgz          20          20                      461328663                                                  3
                   uwltji          20          20                     -723866303                                                  3
                   onsqok          22          22                     1210479283                                                  3
                  arftuzd          17          17                    -1793780143                                                  3
                drqwqgcmu          20          20                    -1142747143                                                  3
                  jybxnok          18          18                      379651723                                                  3
                    iwbun          20          20                     -572295563                                                  3
                jounwloqa          17          17                    -1375181523                                                  3
                    ikghl          24          24                     -585359963                                                  3
                   uscgxf          25          25                     -870914103                                                  3
                kvkzjbnrf          21          21                    -1702886043                                                  3
                 aemchxaf          20          20                     1064569503                                                  3
                  youhwrz          25          25                     1946994663                                                  3
                   ereekn          25          25                     -671553783                                                  3
                nbwtecnaa          22          22                     -677190223                                                  3
                    sxgiv          26          26                     -229326203                                                  3
                vrnpbezte          19          19                    -1384186363                                                  3
                bzyvzcbnl          19          19                     -107424803                                                  3
                 uzeypzuo          26          26                     1231018603                                                  3
                    tletm          23          23                     -208441963                                                  3
                    kumko          26          26                     -505779843                                                  3
                    ontye          20          20                     -376550023                                                  3
                  ktxwyjx          22          22                    -1392846383                                                  3
                   twssrd          24          24                    -1775455583                                                  3
                    bgujl          19          19                     -828460883                                                  3
                 brfhwyey          17          17                     -121005863                                                  3
                 zeniveou          18          18                     -464500903                                                  3
                  wnwkxnt          18          18                     -291368783                                                  3
                 dzgcjcoe          26          26                     1579350783                                                  3
                 utvhmdql          20          20                     2016575363                                                  3
                 hjkjboen          24          24                      574009963                                                  3
                avgbhkhmu          24          24                     -877712503                                                  3
                  bhwdcjb          25          25                     -461166303                                                  3
                  isvssmg          25          25                      519119223                                                  3
                  sjdyckj          21          21                      925371523                                                  3
                    mslfd          25          25                     -439685523                                                  3
                   yfqyxv          18          18                    -1356908303                                                  3
4
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 obgchyor          21          21                      107877924                                                  4
                  wtufoby          20          20                     1695149964                                                  4
                hhpasfiib          18          18                     1102458504                                                  4
                njxbyhuhn          22          22                     1373487444                                                  4
                   zlwrzf          23          23                      -86241644                                                  4
                nhdxxkjwa          17          17                     -865098864                                                  4
                   awtwzv          19          19                     -425657924                                                  4
                   hnwrwa          17          17                    -1905050104                                                  4
                 iwrhfjky          18          18                     1081904704                                                  4
                 cspcpjat          24          24                      240110824                                                  4
                  gxzdkkl          23          23                      389642444                                                  4
                wwftcxhgy          21          21                       45361704                                                  4
                    dlafa          24          24                     -755325124                                                  4
                  vhlkcvs          17          17                    -1206581444                                                  4
                 fchaiqzg          25          25                     -957712784                                                  4
                 rzslnsoh          25          25                    -1744043404                                                  4
                    cynts          25          25                     -774686964                                                  4
                   pxdoov          26          26                    -1700111364                                                  4
                 kvzycinq          25          25                    -1110164904                                                  4
                hhhjotcgq          18          18                     1216482224                                                  4
                   qawwtb          26          26                    -1405516624                                                  4
                    egxyn          17          17                     -725826104                                                  4
                 jwmmtxkt          26          26                      326732764                                                  4
                    niyun          21          21                     -416058104                                                  4
                xucyqpsfs          18          18                     -782169544                                                  4
                    jqpbw          26          26                     -544262544                                                  4
                lcsdqkcxo          24          24                    -1861690064                                                  4
                  nmmabso          17          17                     -890131864                                                  4
                  wyvccbn          24          24                    -1567955304                                                  4
                  qqlkfpv          23          23                    -1242332584                                                  4
                  sgremzp          20          20                    -1795752704                                                  4
                   dvfpvd          22          22                    -1592645624                                                  4
                biiybgfcf          23          23                     -172346504                                                  4
                laywuflyj          19          19                      554600304                                                  4
                 oaklkezw          22          22                     1882268104                                                  4
                 wpdptdlq          18          18                    -1972077484                                                  4
                  ypqoclx          22          22                    -1418377384                                                  4
                    ouzaa          24          24                     -368648484                                                  4
                  hawtwdj          17          17                      189480564                                                  4
                 yckillvr          24          24                     -668371124                                                  4
                rpavtpnvr          21          21                      712117884                                                  4
                bpzmaevld          23          23                      275794244                                                  4
                  davhpwd          18          18                     1935297144                                                  4
                wcmkpopnf          21          21                      577101584                                                  4
                   lbofgx          22          22                     1912758604                                                  4
                   xqhbep          26          26                    -2051074064                                                  4
                eueeyxwrv          24          24                      370362484                                                  4
                    psmwl          21          21                     -337119344                                                  4
                    wqigm          19          19                     -100292484                                                  4
5
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 tkhkxanl          20          20                      940647385                                                  5
                  pbognrt          23          23                     1668848405                                                  5
                  azflwby          24          24                    -1918259805                                                  5
                jklxqxmtr          18          18                     1011934085                                                  5
                uodyrbsfq          26          26                      416578805                                                  5
                 nunxqvgi          17          17                      745630345                                                  5
                   djcdnj          24          24                    -2006431385                                                  5
                  zcmbbve          18          18                      317732625                                                  5
                 wcdsocjo          17          17                      732343125                                                  5
                   agukln          21          21                     -971723125                                                  5
                  rsuqxqg          26          26                     -331090865                                                  5
                   xbohkp          21          21                     1739275165                                                  5
                  kvlplqr          23          23                      307497165                                                  5
                 dswnvctg          21          21                     -493141645                                                  5
                cfnomanuj          18          18                      839033385                                                  5
                   chuies          18          18                     1180925365                                                  5
                znqdhuobg          21          21                     1582066805                                                  5
                  ezgwkde          22          22                      629136185                                                  5
                bykvydjuk          20          20                     -365079405                                                  5
                    jtqam          24          24                     -540921705                                                  5
                segjjtupl          19          19                     1195405485                                                  5
                   tqxpfx          24          24                    -1975085605                                                  5
                    tclzl          20          20                     -218106625                                                  5
                    kdkor          18          18                     -524584805                                                  5
                kxptukujl          17          17                     2015780065                                                  5
                tkiesupgz          25          25                     -341277985                                                  5
                    xmdmh          17          17                      -70702365                                                  5
                    niraa          20          20                     -416330425                                                  5
                    fjosk          24          24                     -688676025                                                  5
                emfgeopwi          20          20                     -202535745                                                  5
                 riqduljh          22          22                      272398865                                                  5
                 ugrkbhmo          26          26                      477443705                                                  5
                  vdsrgyb          20          20                     -901675645                                                  5
                   iaygch          24          24                    -1288194385                                                  5
                    pimjy          20          20                     -348156445                                                  5
                    cgptb          25          25                     -794457285                                                  5
                  dswzwyi          22          22                     -418262305                                                  5
                syvhnkcyx          22          22                     -964257225                                                  5
                    nmlmz          25          25                     -412120005                                                  5
                 ousdmssx          23          23                     1118621985                                                  5
                   qyexnt          22          22                     -605241445                                                  5
                 xdnnjcje          25          25                     1096202105                                                  5
                   mlxuea          19          19                     -970776725                                                  5
                rdgegnmfe          26          26                    -1818575325                                                  5
                    whcgk          17          17                     -110426305                                                  5
                sdslpwaqw          17          17                    -1918215585                                                  5
                  obefdir          22          22                    -1447187725                                                  5
                 jsvilfvl          23          23                    -1377347405                                                  5
                   lhdavt          26          26                     2105494605                                                  5
                    sglww          23          23                     -247870865                                                  5
                  ajfrbsc          22          22                    -1680962425                                                  5
                    osbdl          17          17                     -371702545                                                  5
                pegucaazx          17          17                    -1534283705                                                  5
                    hhyjt          24          24                     -622194425                                                  5
                 svaoeryi          25          25                    -1685708065                                                  5
6
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                  juklegf          18          18                      731480586                                                  6
                 sclegknk          20          20                     -108167706                                                  6
                 bbngdxrc          20          20                    -1708015606                                                  6
                   kdlhhr          19          19                      918585806                                                  6
                    icbgx          25          25                     -594356586                                                  6
                    bvcmh          24          24                     -812563606                                                  6
                    ekruw          24          24                     -721634626                                                  6
                aactupxmx          19          19                     2004236166                                                  6
                    hhcsq          25          25                     -622966466                                                  6
                myuangffs          20          20                     -743529986                                                  6
                    ncemq          26          26                     -423391906                                                  6
                   dbfwlp          23          23                     2019154006                                                  6
                 evfrthlo          18          18                    -1398229226                                                  6
                    hlhod          21          21                     -618384686                                                  6
                   cpjlrl          17          17                     1442283966                                                  6
                    hgxlv          19          19                     -623329886                                                  6
                    qxaoi          18          18                     -297873706                                                  6
                  jnmbetg          23          23                     1963797906                                                  6
                uuvhtwydn          24          24                    -1590786466                                                  6
                   ucqzvp          17          17                    -1401533146                                                  6
                ronxkvcix          18          18                     -137581646                                                  6
                  ioydkit          17          17                      662660426                                                  6
                    sgwyx          24          24                     -247477406                                                  6
                fwbtydjgm          24          24                     1291098306                                                  6
                 raaumded          17          17                      367512366                                                  6
                    wkcre          20          20                     -107107106                                                  6
                 hzscrlci          20          20                     1652808286                                                  6
                 kjjmmjxo          24          24                     -192369946                                                  6
                 pxahyise          17          17                     -830837626                                                  6
                  wdokvyz          20          20                     1727326746                                                  6
                  ueuhdrt          23          23                     1736908966                                                  6
                   blozxt          21          21                      252340586                                                  6
                    suukz          24          24                     -232132766                                                  6
                   epffav          26          26                     -738767686                                                  6
                    cnbnq          20          20                     -787245546                                                  6
                  dnoqris          26          26                    -1703166326                                                  6
                vjcilztcr          19          19                     -757112806                                                  6
                  msbrvzk          21          21                    -1958708246                                                  6
                   qcplpx          20          20                    -1345286846                                                  6
                   rmmhwl          19          19                       52253066                                                  6
                    khmun          21          21                     -520097886                                                  6
                amubhyqky          25          25                    -1231813406                                                  6
                  byiooot          23          23                      -99125366                                                  6
                  hrqqray          18          18                      808838226                                                  6
                 emcgkmuo          26          26                      147314626                                                  6
7
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 ewwheklp          18          18                     1844372627                                                  7
                 efgrddtk          22          22                    -1772889147                                                  7
                 tmrlzuws          19          19                      -63609147                                                  7
                  seectyj          20          20                      -65513187                                                  7
                  zymeslw          22          22                    -2144041767                                                  7
                    acylg          23          23                     -866895887                                                  7
                   kocier          20          20                     1284570567                                                  7
                   swshxm          17          17                     1459849207                                                  7
                qdqswiovg          22          22                      782911507                                                  7
                    tnupg          23          23                     -205673327                                                  7
                   carbje          22          22                      938182947                                                  7
                hfldljcvj          24          24                     1424841447                                                  7
                   aqsjth          26          26                     -632251487                                                  7
                zdlgygjaw          20          20                     -543933387                                                  7
                   youbxh          22          22                    -1045785067                                                  7
                  epbwptf          19          19                    -1544370307                                                  7
                  lkarlpb          23          23                     -355437827                                                  7
                  uzdgjmk          19          19                     1925133107                                                  7
                 mgfrhnlm          22          22                      421236567                                                  7
                 jldudcbm          24          24                     -798616567                                                  7
                    unwdp          23          23                     -171445367                                                  7
                 oagcrhvl          25          25                     1640406107                                                  7
                   unxiuc          17          17                    -1018550327                                                  7
                  khieoxu          18          18                    -1752022127                                                  7
                 tjzwgjxt          21          21                      446564207                                                  7
                xddfipqvh          17          17                     2054783287                                                  7
                  zfrwfnt          22          22                     -605266307                                                  7
                  mlwarww          24          24                      -85031707                                                  7
                  tmaqndp          24          24                    -1824807827                                                  7
                 aqwnjpaq          24          24                    -1935109847                                                  7
                  pugonbg          25          25                       55742167                                                  7
                  lrrtapk          17          17                     -947713867                                                  7
                   ybzlxj          24          24                    -1484131687                                                  7
                 ieeorqza          23          23                     2076904627                                                  7
                   dfuhza          25          25                    -2123116027                                                  7
                 ypjhlvsz          23          23                      -73959307                                                  7
                   aukgih          22          22                     -504507807                                                  7
                kryqtcnrx          17          17                     1918828527                                                  7
                    ssehb          18          18                     -234910547                                                  7
                 dicbhcso          24          24                     1706767007                                                  7
                 bamzoqbt          17          17                     -584098447                                                  7
                   tniyym          19          19                    -2093789047                                                  7
                    fneom          18          18                     -684627047                                                  7
8
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                hlpmuxowv          26          26                     1255202988                                                  8
                  zbkypyj          21          21                     -784032948                                                  8
                    yadtk          21          21                      -49751148                                                  8
                   odjoyc          20          20                      858796168                                                  8
                    jhsic          25          25                     -554068988                                                  8
                   trlncc          20          20                    -1954217868                                                  8
                  tviasgi          21          21                     -625328228                                                  8
                ygykucmwj          22          22                     -720479568                                                  8
                    ytyqh          23          23                      -28064928                                                  8
                 emeyynhv          25          25                    -1398577868                                                  8
                   lcbikk          22          22                     1932710188                                                  8
                    qytbp          18          18                     -296110508                                                  8
                    abirn          20          20                     -868559928                                                  8
                yeacknoxa          21          21                     1117488248                                                  8
                 otgjijzl          25          25                    -1280384128                                                  8
                ezrpcsigr          19          19                      364630088                                                  8
                qbhiwhlkv          24          24                     -526089028                                                  8
                    xwtes          21          21                      -59119548                                                  8
                   icmuld          18          18                    -1232573068                                                  8
                    zqxpz          21          21                        2762508                                                  8
                 ffoqegbi          21          21                    -1862104148                                                  8
                   eeztnn          18          18                    -1092082988                                                  8
                 aphtrffq          26          26                     1091172668                                                  8
                  symdaqk          18          18                      -80998168                                                  8
                 cmqomune          21          21                    -2045757448                                                  8
                 kexdjcvj          17          17                      462113968                                                  8
                gjkbcbnsk          23          23                    -1093346248                                                  8
                kcxprqnkq          23          23                     1436640688                                                  8
                    cahax          19          19                     -801376328                                                  8
                 ejofnbon          17          17                      213833468                                                  8
                    attan          26          26                     -848347488                                                  8
                    aknys          18          18                     -858453528                                                  8
                   bhfmim          19          19                      105259368                                                  8
                    swfcu          24          24                     -230470948                                                  8
                   svqdvk          25          25                     1423329808                                                  8
                 tbufavak          26          26                    -1850054288                                                  8
                  ipbgekc          19          19                      939117768                                                  8
                   vyeoso          19          19                      395869728                                                  8
                  mjnrehw          17          17                     1802105008                                                  8
                    dmzaf          18          18                     -753339488                                                  8
                    yjwxi          21          21                      -39150648                                                  8
                jiuqkeylx          24          24                     1028408008                                                  8
                 pzuqylju          24          24                      438290028                                                  8
                    hwjrp          23          23                     -606184748                                                  8
                 kdndkgqp          26          26                      -17396148                                                  8
                  dlikokn          24          24                      261503968                                                  8
                poqowwaju          25          25                     -333773948                                                  8
9
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 oljsqnsw          26          26                     1505852349                                                  9
                   kltopm          20          20                     1201024049                                                  9
                  cplxokb          24          24                     1842593049                                                  9
                 tbjizkfk          20          20                     -487534749                                                  9
                 xrjqowzn          24          24                     1428213129                                                  9
                  zzktnsx          21          21                    -1136739449                                                  9
                   zqztxw          21          21                       87985989                                                  9
                 qknpnhot          24          24                    -1311955489                                                  9
                   uwgesq          25          25                     -729900369                                                  9
                vtxbtdvti          20          20                     -637570669                                                  9
                    cmjiw          21          21                     -788068869                                                  9
                vomwkpmhj          20          20                     -896305929                                                  9
                pbbpbigxw          26          26                      576274229                                                  9
                   qyxcjl          26          26                     -585049949                                                  9
                  hinhtdi          25          25                     -247091729                                                  9
                   fvzqmc          24          24                      547982089                                                  9
                   hpxbkn          26          26                    -1836189469                                                  9
                bgzgvkwun          22          22                    -1595930909                                                  9
                    ugjkj          24          24                     -179615669                                                  9
                   vmuxjb          23          23                        3771889                                                  9
                 luxhqisu          18          18                     2082363249                                                  9
                 dxmshvwl          22          22                    -1360470329                                                  9
                ethbcotlj          20          20                      394901349                                                  9
                  owkpoxi          20          20                     -460721549                                                  9
                  rvmvqnu          20          20                    -1716325109                                                  9
                  yijuoms          25          25                     -475543589                                                  9
                 mdrfehek          21          21                      105445369                                                  9
                    bhvdq          26          26                     -827329749                                                  9
                    daahm          18          18                     -767447329                                                  9
                 analrskk          20          20                      742499729                                                  9
                xabcutjkl          17          17                    -2138043269                                                  9
                  kqovmjo          18          18                     -584776629                                                  9
                 tsgtdlle          24          24                      875329049                                                  9
                 yqjplhmo          23          23                    -1323204349                                                  9
                 tyraxjxr          23          23                    -1527433609                                                  9
                    tffvk          22          22                     -215017789                                                  9
                   psnpsf          23          23                    -1859900529                                                  9
                  rictrjo          22          22                     1349045889                                                  9
                ofkbpjwap          19          19                      986484169                                                  9
                   ecgjmo          24          24                    -1181723289                                                  9
                 ybcjkblq          17          17                     1002137869                                                  9
                   juzabc          18          18                      455377329                                                  9
                hdeblwbae          23          23                     1266388609                                                  9
                  baohynv          20          20                      445652609                                                  9
                   iecmoh          20          20                    -1175536049                                                  9
                 pyouermr          20          20                       14540409                                                  9
                 nkzesgrm          20          20                    -2034327289                                                  9
                    hsiiu          25          25                     -610639509                                                  9
                szyuhslei          25          25                     -486310749                                                  9
                  nttcsnt          23          23                    -1823120949                                                  9
                 nlxdejou          18          18                    -1429517829                                                  9
                 rgpxyvgd          20          20                    -1349476089                                                  9
                   sqsehk          18          18                     1254702449                                                  9
                pjkcyiwoy          26          26                      138795509                                                  9
                   ydkffe          26          26                    -1432559309                                                  9
                 aqxyiqwo          18          18                     -500999769                                                  9
                qrayegkau          25          25                     1642632749                                                  9
                txlrojmvr          25          25                      897355149                                                  9
                    mgdtd          21          21                     -453181129                                                  9
10
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 vtdurejc          23          23                      638655070                                                 10
                    puaeb          21          21                     -335362510                                                 10
                   gdxhgy          19          19                      989665070                                                 10
                   jfitdq          18          18                      -75236970                                                 10
                  ceyylob          25          25                     -774323030                                                 10
                  tjkblkp          26          26                     -382570610                                                 10
                    guehv          25          25                     -642748590                                                 10
                  xramwjm          18          18                     1674061430                                                 10
                 xstqgdux          22          22                     1899463150                                                 10
                    xmstl          20          20                      -70160830                                                 10
                   cnlauy          26          26                     1375760750                                                 10
                 rrjrywis          22          22                     1116549030                                                 10
                    urbev          20          20                     -167781630                                                 10
                  aostunx          18          18                     -232448030                                                 10
                   ywgsox          23          23                     -787259850                                                 10
                   uctowf          22          22                    -1398616690                                                 10
                 swpesljy          21          21                     -530034310                                                 10
                    vljti          25          25                     -139923770                                                 10
                    zyuku          18          18                       11468050                                                 10
                  yibgydu          17          17                     -763992230                                                 10
                    jtasl          22          22                     -541470010                                                 10
                 xenxspap          23          23                      -73824570                                                 10
                 qelzqemu          24          24                     1752033710                                                 10
                   feoxrz          26          26                      -44782070                                                 10
                pkxarsxvv          23          23                     -460906250                                                 10
                   tsaalk          20          20                    -1932624150                                                 10
                 xvwztbky          17          17                      832771810                                                 10
                qitiifcdo          18          18                    -1676051930                                                 10
                  ujtsqau          25          25                    -1578235250                                                 10
                   idamvw          26          26                    -1211902270                                                 10
                   pqeste          18          18                    -1938053710                                                 10
                 lrpihuqa          18          18                    -1800885410                                                 10
                gmeqeodpq          25          25                    -1580628090                                                 10
                tebqewhhe          19          19                      716642610                                                 10
                 qpkeffmu          25          25                      399835230                                                 10
                ictmoyboc          21          21                      565775090                                                 10
                mclfxjavs          18          18                      108358430                                                 10
                 gjkcmihz          25          25                      287260550                                                 10
                   gmctvp          17          17                     1274493510                                                 10
                 zjvpixbq          18          18                      624739930                                                 10
                   vsqkzh          17          17                      203940810                                                 10
                    ryyxw          21          21                     -261736950                                                 10
                yoxwsfkno          18          18                     1038732390                                                 10
                    pltvw          25          25                     -344587050                                                 10
                   gpmzna          25          25                     1388230630                                                 10
                 wccgdrnl          18          18                     -748565890                                                 10
                   kdanpr          22          22                      906683390                                                 10
                 fkpywohl          24          24                      470092650                                                 10
                    xxrov          25          25                      -58076810                                                 10
                 xsdlenos          26          26                     1958167530                                                 10
                   eerfnf          26          26                    -1101399210                                                 10
                eupqyocfx          24          24                      622903710                                                 10
11
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                    qcmbu          23          23                     -320609091                                                 11
                    spvvy          17          17                     -237595971                                                 11
                  ubxkzyx          24          24                    -1334318731                                                 11
                 xzeuewuh          24          24                     1260524491                                                 11
                    hqxtz          20          20                     -612297891                                                 11
                bpyeoxapf          21          21                    -1882780071                                                 11
                    ebsdv          21          21                     -731539011                                                 11
                  tmzfuwv          18          18                     -982404931                                                 11
                 stuqlqne          18          18                     1145239631                                                 11
                   pfjspf          26          26                     1986547331                                                 11
                    qdgbu          18          18                     -319720171                                                 11
                    cahkv          20          20                     -801364931                                                 11
                gmfklovzg          20          20                     -628624131                                                 11
                   bgzjbs          17          17                       93019951                                                 11
                vkcasclvp          22          22                     -368356891                                                 11
                    qywcj          19          19                     -296002911                                                 11
                    aywsx          21          21                     -842708471                                                 11
                lhkbyihio          20          20                      175318571                                                 11
                   skqwzx          23          23                     1048137411                                                 11
                 dfqgzyue          26          26                     -180386371                                                 11
                  snyqfyn          19          19                     1576399131                                                 11
                htzzhrrnu          18          18                     -170144351                                                 11
                dyqzuqwds          21          21                    -1695163471                                                 11
                   yhyryz          24          24                    -1279997211                                                 11
                   guixge          24          24                     1554593951                                                 11
